年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,南平,Minamidaira,,1781,1088,693,1763,1088,675
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,平山城址公園,Hirayamajoshi-Koen,,1417,779,638,1402,779,623
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,長沼,Naganuma,,690,335,355,662,335,327
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,北野,Kitano,◎,3711,1877,1834,3693,1877,1816
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王八王子,Keio-Hachioji,,8830,4866,3964,8877,4866,4011
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王片倉,Keio-Katakura,,921,487,434,934,487,447
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,山田,Yamada,,921,461,460,909,461,448
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,めじろ台,Mejirodai,,2596,1573,1023,2576,1573,1003
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,狭間,Hazama,,1389,713,676,1436,713,723
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,高尾,Takao,,4205,2261,1944,4313,2261,2052
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,高尾山口,Takaosanguchi,,1905,246,1659,1870,246,1624
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王多摩川,Keio-Tamagawa,,2691,1557,1134,2639,1557,1082
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王よみうりランド,Keio-Yomiuri-Land,,2584,1032,1552,2546,1032,1514
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,稲城,Inagi,,3489,2111,1378,3497,2111,1386
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王永山,Keio-Nagayama,,7401,4153,3248,7450,4153,3297
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王多摩センター,Keio-Tama-Center,,14151,8086,6065,14276,8086,6190
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,京王堀之内,Keio-Horinouchi,,5212,2899,2313,5245,2899,2346
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,南大沢,Minami-Osawa,,9816,5762,4054,9826,5762,4064
令和5,2023,京王電鉄,Keio Corporation,京王線,Keio Line,多摩境,Tamasakai,,3739,2430,1309,3716,2430,1286
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,,,,150315,79490,70825,150447,79490,70957
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,渋谷,Shibuya,※,52521,28605,23916,52065,28605,23460
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,神泉,Shinsen,※,1841,666,1175,2137,666,1471
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,駒場東大前,Komaba-Todaimae,※,6316,4055,2261,6222,4055,2167
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,池ノ上,Ikenoue,※,1620,612,1008,1571,612,959
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,下北沢,Shimo-Kitazawa,※,19418,8754,10664,19784,8754,11030
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,新代田,Shindaita,※,1568,592,976,1505,592,913
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,東松原,Higashi-Matsubara,※,2778,1498,1280,2697,1498,1199
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,明大前,Meidaimae,◎※,7200,4016,3184,7239,4016,3223
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,永福町,Eifukucho,※,5366,2727,2639,5423,2727,2696
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,西永福,Nishi-Eifuku,※,3182,1622,1560,3072,1622,1450
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,浜田山,Hamadayama,※,4900,2523,2377,4928,2523,2405
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,高井戸,Takaido,※,6863,4206,2657,6795,4206,2589
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,富士見ヶ丘,Fujimigaoka,※,2316,1117,1199,2287,1117,1170
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,久我山,Kugayama,※,6869,3830,3039,6783,3830,2953
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,三鷹台,Mitakadai,,3542,2107,1435,3443,2107,1336
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,井の頭公園,Inokashira-Koen,,1196,587,609,1177,587,590
令和5,2023,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,吉祥寺,Kichijoji,,22820,11971,10849,23318,11971,11347
令和5,2023,京成電鉄,Keisei Electric Railway,,,,,,141720,78148,63572,141390,78148,63242
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,,,※,78315,40258,38057,77714,40258,37456
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,京成上野,Keisei-Ueno,,9016,3408,5608,7486,3408,4078
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,日暮里,Nippori,,16620,8910,7710,18139,8910,9229
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,新三河島,Shim-Mikawashima,,1049,472,577,1037,472,565
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,町屋,Machiya,,3395,1786,1609,3576,1786,1790
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,千住大橋,Senjuohashi,,2924,1603,1321,2883,1603,1280
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,京成関屋,Keisei-Sekiya,,4207,2547,1660,4214,2547,1667
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,堀切菖蒲園,Horikirishobuen,,3894,2135,1759,3868,2135,1733
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,お花茶屋,Ohanajaya,,5757,3476,2281,5744,3476,2268
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,青砥,Aoto,◎,4822,2524,2298,4879,2524,2355
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,京成高砂,Keisei-Takasago,◎,22283,10855,11428,21602,10855,10747
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,京成小岩,Keisei-Koiwa,,3247,1893,1354,3205,1893,1312
令和5,2023,京成電鉄,Keisei Electric Railway,本線,Main Line,江戸川,Edogawa,,1101,649,452,1081,649,432
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,,,※,57130,34384,22746,57434,34384,23050
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,押上,Oshiage,,37938,23149,14789,38712,23149,15563
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,京成曳舟,Keisei-Hikifune,,3521,1825,1696,3367,1825,1542
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,八広,Yahiro,,2458,1418,1040,2397,1418,979
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,四ツ木,Yotsugi,,3220,1847,1373,3147,1847,1300
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,京成立石,Keisei-Tateishi,,6193,4106,2087,6133,4106,2027
令和5,2023,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,青砥,Aoto,◎,3800,2039,1761,3678,2039,1639
令和5,2023,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,,,※,6275,3506,2769,6242,3506,2736
令和5,2023,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,京成高砂,Keisei-Takasago,◎,515,213,302,524,213,311
令和5,2023,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,柴又,Shibamata,,1557,693,864,1538,693,845
令和5,2023,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,京成金町,Keisei-Kanamachi,,4203,2600,1603,4180,2600,1580
令和5,2023,東武鉄道,Tobu Railway ,,,,,,296433,178968,117465,295616,178968,116648
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,,,※,152605,92235,60370,152747,92235,60512
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,浅草,Asakusa,,7211,2683,4528,6823,2683,4140
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,とうきょうスカイツリｰ,Tokyo Skytree,,21187,13312,7875,21037,13312,7725
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,曳舟,Hikifune,◎,4214,2182,2032,4311,2182,2129
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,東向島,Higashi-Mukojima,,3306,1887,1419,3339,1887,1452
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,鐘ヶ淵,Kanegafuchi,,2272,1234,1038,2229,1234,995
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,堀切,Horikiri,,744,517,227,736,517,219
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,牛田,Ushida,,3764,2233,1531,3738,2233,1505
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,北千住,Kita-Senju,,73006,45817,27189,73839,45817,28022
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,小菅,Kosuge,,1110,581,529,1070,581,489
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,五反野,Gotanno,,6376,4005,2371,6335,4005,2330
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,梅島,Umejima,,6290,4018,2272,6221,4018,2203
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,西新井,Nishiarai,◎,11192,6400,4792,11118,6400,4718
令和5,2023,東武鉄道,Tobu Railway ,東武スカイツリｰライン,Tobu Skytree Line,竹ノ塚,Takenotsuka,,11933,7366,4567,11951,7366,4585
令和5,2023,東武鉄道,Tobu Railway ,大師線,Daishi Line,,,※,2420,1459,961,2416,1459,957
令和5,2023,東武鉄道,Tobu Railway ,大師線,Daishi Line,西新井,Nishiarai,◎,117,8,109,123,8,115
令和5,2023,東武鉄道,Tobu Railway ,大師線,Daishi Line,大師前,Daishimae,,2303,1451,852,2293,1451,842
令和5,2023,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,,,※,9573,5599,3974,9521,5599,3922
令和5,2023,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,曳舟,Hikifune,◎,908,414,494,928,414,514
令和5,2023,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,小村井,Omurai,,1987,1253,734,1953,1253,700
令和5,2023,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,東あずま,Higashi-Azuma,,1403,779,624,1343,779,564
令和5,2023,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,亀戸水神,Kameidosuijin,,788,413,375,758,413,345
令和5,2023,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,亀戸,Kameido,,4487,2740,1747,4539,2740,1799
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,,,※,131835,79675,52160,130932,79675,51257
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,池袋,Ikebukuro,,75093,47546,27547,74373,47546,26827
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,北池袋,Kita-Ikebukuro,,1846,897,949,1748,897,851
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,下板橋,Shimo-Itabashi,,2835,1523,1312,2755,1523,1232
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,大山,Oyama,,8528,4638,3890,8548,4638,3910
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,中板橋,Naka-Itabashi,,4997,2842,2155,4837,2842,1995
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,ときわ台,Tokiwadai,,7686,4620,3066,7663,4620,3043
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,上板橋,Kami-Itabashi,,8889,5259,3630,8869,5259,3610
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,東武練馬,Tobu-Nerima,,9946,5936,4010,9966,5936,4030
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,下赤塚,Shimo-Akatsuka,,2656,1245,1411,2711,1245,1466
令和5,2023,東武鉄道,Tobu Railway ,東上線,Tojo Line,成増,Narimasu,,9359,5169,4190,9462,5169,4293
令和5,2023,北総鉄道,Hokuso Railway,,,,,,11570,7556,4014,11791,7556,4235
令和5,2023,北総鉄道,Hokuso Railway,北総線,Hokuso Line,,,※,11570,7556,4014,11791,7556,4235
令和5,2023,北総鉄道,Hokuso Railway,北総線,Hokuso Line,京成高砂,Keisei-Takasago,,10627,7009,3618,10879,7009,3870
令和5,2023,北総鉄道,Hokuso Railway,北総線,Hokuso Line,新柴又,Shin-Shibamata,,943,547,396,912,547,365
令和5,2023,高尾登山電鉄,Takao Tozan Railway,,,,,,1906,30,1876,1906,30,1876
令和5,2023,高尾登山電鉄,Takao Tozan Railway,,,清滝,Kiyotaki,,527,15,512,607,15,592
令和5,2023,高尾登山電鉄,Takao Tozan Railway,,,高尾山,Takaosan,,607,15,592,527,15,512
令和5,2023,高尾登山電鉄,Takao Tozan Railway,,,山麓（リフト）,Sanroku (Chair Lift),,323,0,323,449,0,449
令和5,2023,高尾登山電鉄,Takao Tozan Railway,,,山上（リフト）,Sanjo (Chair Lift),,449,0,449,323,0,323
令和5,2023,東京モノレール,Tokyo Monorail,,,,,※,39481,15018,24463,39481,15018,24463
令和5,2023,東京モノレール,Tokyo Monorail,,,モノレール浜松町,Monorail Hamamatsucho,,16746,5964,10783,16334,5964,10370
令和5,2023,東京モノレール,Tokyo Monorail,,,天王洲アイル,Tennozu Isle,,4166,2044,2122,4162,2044,2117
令和5,2023,東京モノレール,Tokyo Monorail,,,大井競馬場前,Oi Keibajo Mae,,1886,1011,875,1922,1011,910
令和5,2023,東京モノレール,Tokyo Monorail,,,流通センター,Ryutsu Center,,2695,1712,983,2815,1712,1103
令和5,2023,東京モノレール,Tokyo Monorail,,,昭和島,Showajima,,1062,809,253,1075,809,266
令和5,2023,東京モノレール,Tokyo Monorail,,,整備場,Seibijo,,325,214,111,381,214,167
令和5,2023,東京モノレール,Tokyo Monorail,,,天空橋,Tenkubashi ,,2344,1299,1046,1802,1299,503
令和5,2023,東京モノレール,Tokyo Monorail,,,羽田空港第3ターミナル,Haneda Airport Terminal3,,1859,200,1660,1712,200,1512
令和5,2023,東京モノレール,Tokyo Monorail,,,新整備場,Shin Seibijo,,611,273,338,914,273,642
令和5,2023,東京モノレール,Tokyo Monorail,,,羽田空港第1ターミナル,Haneda Airport Terminal1,,3707,505,3202,4046,505,3540
令和5,2023,東京モノレール,Tokyo Monorail,,,羽田空港第2ターミナル,Haneda Airport Terminal2,,4078,988,3091,4320,988,3332
令和5,2023,御岳登山鉄道,Mitake Tozan Railway,,,,,,434,11,423,434,11,423
令和5,2023,御岳登山鉄道,Mitake Tozan Railway,,,滝本,Takimoto,,219,5,214,215,6,209
令和5,2023,御岳登山鉄道,Mitake Tozan Railway,,,御岳山,Mitakesan,,215,6,209,219,5,214
令和5,2023,ゆりかもめ,Yurikamome Inc. ,,,,,,39754,7840,31914,39754,7840,31914
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,,,※,39754,7840,31914,39754,7840,31914
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,新橋,Shimbashi,,10142,2103,8039,10288,2055,8234
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,汐留,Shiodome,,1317,217,1100,1390,229,1161
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,竹芝,Takeshiba,,860,92,768,899,96,803
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,日の出,Hinode,,444,101,343,432,99,333
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,芝浦ふ頭,Shibaura-Futo,,872,354,518,918,362,556
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,お台場海浜公園,Odaiba-Kaihinkoen,,2410,557,1853,2395,554,1841
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,台場,Daiba,,3752,370,3382,3748,389,3359
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,東京国際クルーズターミナル,Tokyo International Cruise Terminal,,505,165,340,572,166,406
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,テレコムセンター,Telecom Center,,1510,716,794,1593,727,867
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,青海,Aomi,,266,36,230,272,35,237
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,東京ビッグサイト,Tokyo Big Sight ,,3470,414,3056,3569,439,3130
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,有明,Ariake,,1681,292,1389,1682,286,1395
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,有明テニスの森,Ariake Tennis-No-Mori,,1481,309,1172,1488,306,1182
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,市場前,Shijo-Mae,,2577,608,1969,2520,627,1893
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,新豊洲,Shin-Toyosu,,2061,154,1907,2010,151,1859
令和5,2023,ゆりかもめ,Yurikamome Inc. ,東京臨海新交通臨海線,Tokyo Waterfront New Transit Waterfront Line,豊洲,Toyosu,,6406,1352,5054,5979,1320,4659
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,,,,,,76736,34791,41945,76736,34791,41945
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,,,※,76736,34791,41945,76736,34791,41945
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,新木場,Shin-Kiba ,,10485,4952,5533,10316,4952,5365
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,東雲,Shinonome ,,2585,1633,952,2568,1633,934
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,国際展示場,Kokusai-Tenjijo  ,,12362,4875,7487,12404,4875,7530
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,東京テレポート,Tokyo Teleport ,,7732,2895,4837,7491,2895,4596
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,天王洲アイル,Tennozu Isle,,5452,2689,2763,5558,2689,2870
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,品川シーサイド,Shinagawa Seaside　,,6193,3453,2740,6136,3453,2683
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,大井町,Oimachi ,,12377,5828,6550,12553,5828,6725
令和5,2023,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit， Inc.,りんかい線,Rinkai Line,大崎,Osaki ,,19550,8467,11084,19709,8467,11243
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,,,,48232,26877,21355,48232,26877,21355
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,多摩センター,Tama Center  ,,6004,3795,2209,6046,3795,2251
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,松が谷,Matsugaya    ,,440,212,228,469,212,256
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,大塚・帝京大学,Otsuka・Teikyo-Daigaku,,1570,829,741,1446,829,617
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,中央大学・明星大学,Chuo-Daigaku・Meisei-Daigaku ,,4736,3710,1027,4780,3710,1071
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,多摩動物公園,Tama-Dobutsukoen  ,,414,101,313,397,101,296
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,程久保,Hodokubo  ,,315,144,171,287,144,143
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,高幡不動,Takahatafudo  ,,4128,2287,1841,4139,2287,1851
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,万願寺,Manganji  ,,1402,712,690,1366,712,654
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,甲州街道,Koshukaido,,1617,968,649,1577,968,609
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,柴崎体育館,Shibasaki-Taiikukan  ,,776,348,428,716,348,368
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,立川南,Tachikawa-Minami  ,,5563,3139,2424,5608,3139,2470
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,立川北,Tachikawa-Kita  ,,7590,3638,3953,7708,3638,4070
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,高松,Takamatsu ,,1255,456,798,1294,456,837
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,立飛,Tachihi  ,,2476,560,1916,2590,560,2030
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,泉体育館,Izumi-Taiikukan  ,,1132,677,455,1130,677,454
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,砂川七番,Sunagawa-Nanaban ,,875,507,368,841,507,334
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,玉川上水,Tamagawajosui  ,,4355,2492,1863,4334,2492,1842
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,桜街道,Sakurakaido,,1241,748,493,1184,748,436
令和5,2023,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,上北台,Kamikitadai ,,2342,1554,788,2322,1554,767
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,,,,61636,37656,23980,63006,37656,25350
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,,,※,61636,37656,23980,63006,37656,25350
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,秋葉原,Akihabara,,21116,13204,7911,21307,13204,8103
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,新御徒町,Shin-Okachimachi,,7760,5076,2684,8322,5076,3245
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,浅草,Asakusa,,4074,1480,2594,3984,1480,2504
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,南千住,Minami-Senju,,2267,1198,1070,2412,1198,1214
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,北千住,Kita-Senju,,18231,11216,7015,18958,11216,7741
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,青井,Aoi,,2333,1537,796,2267,1537,730
令和5,2023,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,つくばエクスプレス,Tsukuba Express,六町,Rokucho,,5854,3944,1910,5755,3944,1812
,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,
4-13  私鉄の駅別乗降車人員 (令和元～5年度) 4-13　NUMBER OF PASSENGERS ON PRIVATE RAILWAY TRAINS BY STATION ( Fiscal Years 2019-2023 ),,,,,,,,,,,,,,
各駅の乗降車人員は最新年度1年間の合計である。同一会社内の乗り継ぎは除く。 ◎印は同一会社内の乗換え駅を示す。 ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,,,
The number of boarding and deboarding passengers for each station is a one-year total for the most recent fiscal year. Figures exclude transit for same company lines. Stations marked with ◎ indicate transit stations for same company lines. ※ refers to stations (lines) located in the ku area.,,,,,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,,,,,
（単位　千人) (In thousands),,,,,,,,,,,,,,
