地域コード,地域,昼間人口／総数（人）,昼間人口／男（人）,昼間人口／女（人）,夜間人口／総数（人）,夜間人口／男（人）,夜間人口／女（人）,昼夜間人口比率（夜間人口=100）／総数（人）,昼夜間人口比率（夜間人口=100）／男（人）,昼夜間人口比率（夜間人口=100）／女（人）,面積（km2）,人口密度／昼間人口(人／ｋm2),人口密度／夜間人口(人／ｋm2)
13307,檜原村,2297,1068,1229,2558,1241,1317,89.8,86.1,93.3,105.42,21.8,24.3
13308,奥多摩町,5747,2842,2905,6045,2934,3111,95.1,96.9,93.4,225.63,25.5,26.8
13350,島部,28000,14582,13418,27815,14425,13390,100.7,101.1,100.2,400.97,69.8,69.4
13361,大島町,8490,4258,4232,8461,4230,4231,100.3,100.7,100,91.06,93.2,92.9
13362,利島村,348,210,138,341,205,136,102.1,102.4,101.5,4.12,84.5,82.8
13363,新島村,2890,1400,1490,2883,1395,1488,100.2,100.4,100.1,27.83,103.8,103.6
13364,神津島村,1895,955,940,1889,949,940,100.3,100.6,100,18.87,100.4,100.1
13381,三宅村,2711,1523,1188,2676,1490,1186,101.3,102.2,100.2,55.5,48.8,48.2
13382,御蔵島村,355,193,162,348,187,161,102,103.2,100.6,20.58,17.2,16.9
13401,八丈町,8258,4108,4150,8231,4089,4142,100.3,100.5,100.2,72.62,113.7,113.3
13402,青ヶ島村,209,135,74,201,128,73,104,105.5,101.4,5.98,34.9,33.6
13421,小笠原村,2844,1800,1044,2785,1752,1033,102.1,102.7,101.1,104.41,27.2,26.7
,,,,,,,,,,,,,
,,,,,,,,,,,,,
平成22年国勢調査東京都の昼間人口,,,,,,,,,,,,,
第1表地域、昼間・夜間、男女別人口,,,,,,,,,,,,,
